No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Supplier Part,Primary Category,Secondary Category,Manufacturer
1,2,18pF,"C1,C2",C0402,18pF,0402CG180J500NT,C1549,电容,贴片电容(MLCC),FH(风华)
2,7,22uF,"C21,C117,C148,C149,C150,C160,C161",C0603,22uF,GRM188R61A226ME15D,C84419,电容,贴片电容(MLCC),muRata(村田)
3,61,100nF,"C22,C23,C27,C31,C32,C33,C34,C35,C56,C57,C68,C72,C73,C77,C84,C85,C88,C89,C91,C92,C100,C101,C102,C103,C104,C105,C114,C115,C116,C118,C123,C124,C128,C132,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C154,C155,C156,C157,C158,C159,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173",C0402,100nF,CL05B104KO5NNNC,C1525,电容,贴片电容(MLCC),SAMSUNG(三星)
4,11,10uF,"C69,C126,C130,C151,C152,C153,C162,C163,C180,C187,C194",C0603,10uF,CL10A106KP8NNNC,C19702,电容,贴片电容(MLCC),SAMSUNG(三星)
5,8,2.2uF,"C74,C81,C82,C83,C96,C97,C98,C99",C0402,2.2uF,CL05A225MQ5NSNC,C12530,电容,贴片电容(MLCC),SAMSUNG(三星)
6,5,10uF,"C75,C76,C134,C135,C136",C0402,10uF,CL05A106MQ5NUNC,C15525,电容,贴片电容(MLCC),SAMSUNG(三星)
7,3,1nF,"C119,C127,C131",C0402,1nF,0402B102K500NT,C1523,电容,贴片电容(MLCC),FH(风华)
8,6,100nF,"C174,C179,C181,C186,C188,C193",R0603,100nF,CC0603KRX7R9BB104,C14663,电容,贴片电容(MLCC),YAGEO(国巨)
9,6,100nF,"C175,C176,C182,C183,C189,C190",R0402,100nF,CL05B104KB54PNC,C307331,电容,贴片电容(MLCC),SAMSUNG(三星)
10,3,22pF,"C177,C184,C191",R0402,22pF,0402CG220J500NT,C1555,电容,贴片电容(MLCC),FH(风华)
11,3,22uF,"C178,C185,C192",C0603,22uF,CL10A226MQ8NRNC,C59461,电容,贴片电容(MLCC),SAMSUNG(三星)
12,1,TF PUSH,CARD2,TF-SMD_TF-PUSH,,TF PUSH,C393941,连接器,SD卡连接器,SHOU HAN(首韩)
13,1,WAFER-100W-6A,CN1,CONN-SMD_6P-P1.00_XUNPU_WAFER-100W-6P,,WAFER-100W-6A,C2874473,连接器,线对板/线对线连接器,HANBO(汉博)
14,1,1N5819WS,D4,SOD-323_L1.8-W1.3-LS2.5-RD,,1N5819WS,C191023,二极管,肖特基二极管,Hottech(合科泰)
15,6,0402ESDA-05N,"D6,D7,D8,D12,E1,E2",D0402-BI,,0402ESDA-05N,C316049,TVS/保险丝/板级保护,静电放电(ESD)保护器件,BORN(伯恩半导体)
16,3,RCLAMP0524P,"D9,D10,D11",DFN2510-10_L2.5-W1.0-P0.50-BL,,RCLAMP0524P,C907837,TVS/保险丝/板级保护,静电放电(ESD)保护器件,TECH PUBLIC(台舟)
17,1,FPC-05F-18PH20,FPC1,FPC-SMD_18P-P0.50_FPC-05F-18PH20,,FPC-05F-18PH20,C2856802,连接器,FFC/FPC连接器,XUNPU(讯普)
18,4,125 X 300,"H1,H2,H3,H4",125 X 300,,,,,,
19,2,12251220ANG0S115001,"H5,H6",HDR-TH_40P-P2.54-V-M-R2-C20-S2.54,,12251220ANG0S115001,C429965,连接器,排针,JILN(锦凌)
20,3,3.3uH,"L2,L17,L18",IND-SMD_L4.4-W4.2,3.3uH,MWSA0402S-3R3MT,C408336,,,Sunlord(顺络)
21,2,MPZ1608S101ATAH0,"L8,L9",L0603,,MPZ1608S101ATAH0,C107332,磁珠/滤波器/EMI优化,磁珠,TDK
22,3,UPZ1005D121-1R3TF,"L12,L13,L16",L0402,,UPZ1005D121-1R3TF,C96993,磁珠/滤波器/EMI优化,磁珠,Sunlord(顺络)
23,3,E6C0606RGBC3UDA,"LED1,LED2,LED3",LED-SMD_4P-L1.6-W1.6-TL-FD,,E6C0606RGBC3UDA,C375569,光耦/LED/数码管/光电器件,发光二极管/LED,ekinglux(亿晶源)
24,1,F.0603.00139/P2-0603R1TS2-06T-002,LED4,LED0603-RD,,F.0603.00139/P2-0603R1TS2-06T-002,C7496820,光电器件,发光二极管/LED,TUOZHAN(拓展光电)
25,1,SLS0281FR1A1GD,LED6,LED-SEG-SMD_SLS0281FR1A1GD,,SLS0281FR1A1GD,C225994,数码管驱动/LED驱动,LED数码管,SUNLIGHT(光华)
26,13,10kΩ,"NC1,R2,R4,R6,R9,R61,R75,R76,R152,R153,R154,R155,R178",R0402,10kΩ,0402WGF1002TCE,C25744,电阻,贴片电阻,UNI-ROYAL(厚声)
27,1,S8050 J3Y,Q1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,,S8050 J3Y,C2146,三极管/MOS管/晶体管,三极管(BJT),CJ(江苏长电/长晶)
28,1,1MΩ,R1,R0402,1MΩ,0402WGF1004TCE,C26083,电阻,贴片电阻,UNI-ROYAL(厚声)
29,1,10Ω,R7,R0402,10Ω,0402WGF100JTCE,C25077,电阻,贴片电阻,UNI-ROYAL(厚声)
30,5,1kΩ,"R8,R109,R130,R131,R151",R0402,1kΩ,0402WGF1001TCE,C11702,电阻,贴片电阻,UNI-ROYAL(厚声)
31,1,22Ω,R17,R0402,22Ω,0402WGF220JTCE,C25092,电阻,贴片电阻,UNI-ROYAL(厚声)
32,2,33Ω,"R18,R19",R0402,33Ω,0402WGF330JTCE,C25105,电阻,贴片电阻,UNI-ROYAL(厚声)
33,9,4.7kΩ,"R20,R30,R31,R133,R134,R135,R136,R137,R138",R0402,4.7kΩ,0402WGF4701TCE,C25900,电阻,贴片电阻,UNI-ROYAL(厚声)
34,3,47kΩ,"R36,R157,R161",R0402,47kΩ,0402WGF4702TCE,C25792,电阻,贴片电阻,UNI-ROYAL(厚声)
35,1,15kΩ,R37,R0402,15kΩ,0402WGF1502TCE,C25756,电阻,贴片电阻,UNI-ROYAL(厚声)
36,1,3.3kΩ,R40,R0402,3.3kΩ,0402WGF3301TCE,C25890,电阻,贴片电阻,UNI-ROYAL(厚声)
37,9,0Ω,"R73,R143,R144,R145,R146,R147,R148,R149,R150",R0402,0Ω,0402WGF0000TCE,C17168,电阻,贴片电阻,UNI-ROYAL(厚声)
38,1,100kΩ,R74,R0402,100kΩ,0402WGF1003TCE,C25741,电阻,贴片电阻,UNI-ROYAL(厚声)
39,2,5.1kΩ,"R103,R104",R0402,5.1kΩ,0402WGF5101TCE,C25905,电阻,贴片电阻,UNI-ROYAL(厚声)
40,1,100Ω,R106,R0402,100Ω,0402WGF1000TCE,C25076,电阻,贴片电阻,UNI-ROYAL(厚声)
41,20,49.9Ω,"R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129",R0402,49.9Ω,0402WGF499JTCE,C25120,电阻,贴片电阻,UNI-ROYAL(厚声)
42,1,240Ω,R132,R0402,240Ω,0402WGF2400TCE,C25094,电阻,贴片电阻,UNI-ROYAL(厚声)
43,3,30kΩ,"R156,R158,R162",R0402,30kΩ,RC0402FR-0730KL,C138008,电阻,贴片电阻,YAGEO(国巨)
44,2,12kΩ,"R163,R165",R0402,12kΩ,0402WGF1202TCE,C25752,电阻,贴片电阻,UNI-ROYAL(厚声)
45,2,18kΩ,"R164,R166",R0402,18kΩ,RC0402FR-0718KL,C138044,电阻,贴片电阻,YAGEO(国巨)
46,3,3kΩ,"R167,R170,R173",R0402,3kΩ,0402WGF3001TCE,C25784,,,UNI-ROYAL(厚声)
47,3,4.3kΩ,"R168,R171,R174",R0402,4.3kΩ,0402WGF4301TCE,C25899,电阻,贴片电阻,UNI-ROYAL(厚声)
48,3,9.1kΩ,"R169,R172,R175",R0402,9.1kΩ,0402WGF9101TCE,C25926,,,UNI-ROYAL(厚声)
49,1,4.7kΩ,R176,R0603,4.7kΩ,TC0350F4701T5E,C179829,电阻,贴片电阻,UNI-ROYAL(厚声)
50,1,1.5kΩ,R177,R0402,1.5kΩ,0402WGF1501TCE,C25867,电阻,贴片电阻,UNI-ROYAL(厚声)
51,1,33Ω,RN1,RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL,33Ω,4D02WGJ0330TCE,C25501,电阻,排阻,UNI-ROYAL(厚声)
52,2,510Ω,"RN4,RN5",RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL,510Ω,4D02WGJ0511TCE,C425248,电阻,排阻,UNI-ROYAL(厚声)
53,3,PTS815SJK250SMTRLFS,"SW1,SW2,SW3",SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,,PTS815SJK250SMTRLFS,C918859,按键/开关,轻触开关,C&K
54,2,B3U-1000P,"SW4,SW5",KEY-SMD_B3U-1000PM,,B3U-1000P,C231329,按键/开关,轻触开关,OMRON(欧姆龙)
55,16,Test-Point,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16",Test-Point-0.5mm,,,,,,
56,1,GD32F303CBT6,U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,,GD32F303CBT6,C3013779,单片机/微控制器,单片机(MCU/MPU/SOC),GigaDevice(兆易创新)
57,3,SY8113BADC,"U2,U31,U32",TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,SY8113BADC,C78989,电源芯片,DC-DC电源芯片,silergy(矽力杰)
58,1,gw2a-lv18pg256,U7,FBGA-256_L17.0-W17.0-R16-C16-P1.00-TL-1,,,,,,
59,7,测试点,"U12,U13,U14,U15,U16,U17,U18",测试点0.8mm,,,,,,
60,1,ZX-SH1.0-8PWT,U20,CONN-SMD_8P-P1.00_MEGASTAR_ZX-SH1.0-8PWT,,ZX-SH1.0-8PWT,C7430450,连接器,线对板/线对线连接器,Megastar(兆星)
61,1,TPS51200DRCR,U23,wson-10_l3.0-w3.0-p0.50-bl-ep,,TPS51200DRCR,C34771,电源芯片,DC-DC电源芯片,TI(德州仪器)
62,1,MT41J128M16JT-125-K,U29,fbga-96_l14.0-w9.0-r16-c6-p0.80-tl,,MT41J128M16JT-125-K,C5128616,存储器,DDR SDRAM,micron(镁光)
63,1,W25Q64JVSSIQ,U30,SOP-8_L5.3-W5.3-P1.27-LS8.0-BL,,W25Q64JVSSIQ,C83140,存储器,NOR FLASH,WINBOND(华邦)
64,1,TYPE-C 16PIN 2MD(073),USB2,USB-C-SMD_TYPE-C-6PIN-2MD-073,,TYPE-C 16PIN 2MD(073),C2765186,连接器,USB连接器,SHOU HAN(首韩)
65,1,HDMI-101S,USB3,hdmi-smd_hdmi-101s,,HDMI-101S,C720620,,,XUNPU(讯普)
66,1,8MHz,X1,OSC-SMD_4P-L3.2-W2.5-BL,8MHz,X32258MOB4SI,C2682775,晶振/振荡器/谐振器,无源晶振,YXC(扬兴晶振)
67,1,50MHz,X3,OSC-SMD_4P-L3.2-W2.5-BL,50MHz,OT322550MJBA4SL,C717684,晶振/振荡器/谐振器,有源晶振,YXC(扬兴晶振)
,,,,,,,,,,